FinalID,FinalIDassigned,Phylum,Class,Order,Family,Genus
Anabaena iyengarii,Anabaena iyengarii,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena lapponica,Anabaena lapponica,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena oscillarioides,Anabaena oscillarioides,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena oscillatorioides,Anabaena oscillatorioides,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena oscillatorioides Bory de Saint-Vincent ex Bornet & Flahault,Anabaena oscillatorioides,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena planctonica,Anabaena planctonica,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena portoricensis,Anabaena portoricensis  ,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena sp 1,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena sp 2,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena sp 3,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena sp 4,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena sp 5,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena sp 6,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena sp 7,Anabaena   ,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena sp 8,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena sp 9,Anabaena   ,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena sp. 1,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena sp. 2,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena variabilis,Anabaena variabilis,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena variabilis K¸tz.,Anabaena variabilis,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaenopsis cf elenkinii,Anabaenopsis,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaenopsis
Anabaenopsis elenkinii,Anabaenopsis elenkinii,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaenopsis
Anabeana sp,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabeana
Anabeana sp. 1,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena saaremaaensis,Anabaena saaremaaensis,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena cf saaremaaensis,Anabaena saaremaaensis,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Amphora sp E SWAMP JPK,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Ankistrodesmus cf falcatus,Ankistrodesmus,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus
Ankistrodesmus cf fusiformis,Ankistrodesmus,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus
Ankistrodesmus cf spiralis,Ankistrodesmus,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus
Ankistrodesmus falcatus,Ankistrodesmus falcatus,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus
Ankistrodesmus falcatus (Corda) Ralfs,Ankistrodesmus falcatus,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus
Ankistrodesmus fusiformis,Ankistrodesmus fusiformis,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus
Ankistrodesmus fusiformis Corda ex Korshikov,Ankistrodesmus fusiformis,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus
Ankistrodesmus spiralis,Ankistrodesmusiralis,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus
Ankistrodesmus spiralis (W.B.Turner) Lemmerm.,Ankistrodesmusiralis,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus
Amphora sp. 1 SCCWRP BSL,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp. 1 SCCWRP MCB,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp. 2 JPK,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp. 2 SCCWRP BSL,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp. 3 SCCWRP JPK,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Apatococcus cf lobatus,Apatococcus,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus
Apatococcus lobatus,Apatococcus lobatus,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus
Apatococcus sp 1,Apatococcus,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus
Apatococcus sp. 1,Apatococcus,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus
Aphanizomenon flos-aquae,Aphanizomenon flos-aquae,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon
Aphanocapsa,Aphanocapsa,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa cf delicatissima,Aphanocapsa,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa cf elachista,Aphanocapsa,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa cf grevillei,Aphanocapsa,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa cf holsatica,Aphanocapsa,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
