FinalIDassigned,AlgaeList,Habit,BCG,BCG45,BCG12,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,NitrogenUptakeMetabolism2,OxygenRequirements,Salinity,Salinity2,Saprobity,TaxonomicGroup,TrophicState,Zygnemataceae,ZHR,CRUS,Green,Phylum,Class,Order,Family,Genus1,orig.FinalID
Achnanthidium deflexum,Diatom_2012,BN,2,,yes,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium eutrophilum,Diatom_2012,,0,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium exiguum,Diatom_2012,BN,4,yes,,,,,,,,NM,NAHON,NAHON,DO_100,FB,FB,BM,,I,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium exiguum var heterovalvum,Diatom_2012,BN,4,yes,,,,,,,,NM,NAHON,NAHON,DO_100,FB,FB,BM,,I,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium jackii,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium macrocephalum,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium microcephalum,Diatom_2012,BN,2,,yes,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium minutissimum,Diatom_2012,BN,3,,,,,,,,,NM,NAHON,NAHON,DO_100,FB,FB,BM,,I,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium minutissimum var affinis,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium minutissimum var gracillima,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium reimeri,Diatom_2012,,0,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium rivulare,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthidium subhudsonis,Diatom_2012,BN,2,,yes,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium subsalsum,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Actinastrum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Actinastrum,Actinastrum cf hantzschii
Actinastrum hantzschii,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Actinastrum,Actinastrum hantzschii
Actinocyclus,Diatom_2012,,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaeae,Actinocyclus,
Actinocyclus normanii,Diatom_2012,,5,yes,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaeae,Actinocyclus,
Actinotaenium colpopelta,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinotaenium colpopelta f minus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Actinotaenium ,Actinotaenium colpopelta f minus 
Adlafia,Diatom_2012,BN,0,,,,,,,,,MM,,,,F,F,BM,,O,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia,
Adlafia bryophila,Diatom_2012,BN,2,,yes,,,,,,,MM,NALON,NALON,DO_100,F,F,OS,,M,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia,
Adlafia minuscula,Diatom_2012,BN,3,,,,,,,,,MM,,,,F,F,BM,,O,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia,
Adlafia minuscula var muralis,Diatom_2012,BN,4,yes,,,,,,,,MM,NHHONF,Heterotroph,DO_50,FB,FB,AMPS,,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia,
Adlafia suchlandtii,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia,
Amphicampa eruca,Diatom_2012,,0,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Amphicampa,
Amphipleura,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura,
Amphipleura pellucida,Diatom_2012,BN,3,,,,,,,,,MM,NAHON,NAHON,DO_75,FB,FB,AMPS,,OM,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura,
Amphora,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora aequalis,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora copulata,Diatom_2012,BN,4,yes,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora copulatoides,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphora inariensis,Diatom_2012,BN,3,,,,,,,,,MM,,,,FB,FB,,,O,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora libyca,Diatom_2012,BN,4,yes,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora minutissima,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora ovalis,Diatom_2012,BN,4,yes,,,,,,,,MM,NAHON,NAHON,DO_75,FB,FB,BM,,E,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora pediculus,Diatom_2012,BN,4,yes,,,,,,,,MM,NAHON,NAHON,DO_75,FB,FB,BM,,E,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora perpusilla,Diatom_2012,BN,4,yes,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora stoermerii,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Anabaena,SoftAlgae_2012,,0,,,Yes,,,,,,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena
Anabaena aequalis,SoftAlgae_2012,,0,,,Yes,,,,,,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena aequalis
Anabaena californica,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anabaena cylindrica,SoftAlgae_2012,,0,,,Yes,,NI,NI,NI,NI,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena cylindrica
Anabaena felisii,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anabaena inaequalis,SoftAlgae_2012,,0,,,Yes,NI,NI,NI,NI,NI,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena inaequalis
Anabaena iyengarii,SoftAlgae_2012,,0,,,Yes,,NI,NI,NI,NI,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena iyengarii
Anabaena lapponica,SoftAlgae_2012,,0,,,Yes,,,,,,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena lapponica
Anabaena oscillarioides,SoftAlgae_2012,,3,,,Yes,NI,NI,NI,NI,NI,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena oscillatorioides
Anabaena planctonica,SoftAlgae_2012,,0,,,Yes,,,,,,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena planctonica
Anabaena portoricensis,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anabaena saaremaaensis,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anabaena variabilis,SoftAlgae_2012,,0,,,Yes,NI,NI,NI,NI,NI,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena variabilis
Anabaenopsis,SoftAlgae_2012,,0,,,Yes,,,,,,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaenopsis,Anabaenopsis cf elenkinii
Anabaenopsis elenkinii,SoftAlgae_2012,,0,,,Yes,,,,,,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaenopsis,Anabaenopsis elenkinii
Aneumastus tuscula,Diatom_2012,BN,0,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Aneumastus,
Ankistrodesmus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus,Ankistrodesmus cf falcatus
Ankistrodesmus falcatus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus,Ankistrodesmus falcatus
Ankistrodesmus fusiformis,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus,Ankistrodesmus fusiformis
Ankistrodesmusiralis,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus,Ankistrodesmus spiralis
Anomoeoneis,Diatom_2012,BN,0,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Anomoeoneidaceae,Anomoeoneis,
Anomoeoneis costata,Diatom_2012,BN,0,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Anomoeoneidaceae,Anomoeoneis,
Anomoeoneishaerophora,Diatom_2012,BN,0,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Anomoeoneidaceae,Anomoeoneis,
Anomoeoneishaerophora var sculpta,Diatom_2012,BN,0,,,,,,,,,,,,,B,Halo,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Anomoeoneidaceae,Anomoeoneis,
Apatococcus,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus,Apatococcus cf lobatus
Apatococcus lobatus,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus,Apatococcus lobatus
Aphanizomenon flos-aquae,SoftAlgae_2012,,0,,,Yes,,,,,,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,Aphanizomenon flos-aquae
Aphanocapsa,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa cf delicatissima
Aphanocapsa delicatissima,SoftAlgae_2012,,4,yes,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa delicatissima
Aphanocapsa elachista,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa elachista
Aphanocapsa grevillei,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa grevillei
Aphanocapsa holsatica,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa holsatica
Aphanocapsa hyalina,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa hyalina
Aphanocapsa incerta,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa incerta
Aphanocapsa parasitica,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa parasitica
Aphanocapsa planctonica,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa planctonica
Aphanocapsa rivularis,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa rivularis
Aphanochaete,SoftAlgae_2012,,3,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Chaetophorales,Aphanochaetaceae,Aphanochaete,Aphanochaete cf polychaete
Aphanochaete polychaete,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Chaetophorales,Aphanochaetaceae,Aphanochaete,Aphanochaete polychaete
Aphanochaete repens,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Chaetophorales,Aphanochaetaceae,Aphanochaete,Aphanochaete repens
Aphanothece,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,Aphanothece cf caldariorum
Aphanothece caldariorum,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,Aphanothece caldariorum
Aphanothece clathrata,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,Aphanothece clathrata
Aphanothece elabens,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,Aphanothece elabens
Aphanothece floccosa,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,Aphanothece floccosa
Aphanothece minutissima,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,Aphanothece minutissima
Aphanothece nebulosa,SoftAlgae_2012,,2,,yes,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,Aphanothece nebulosa
Aphanothece nidulans,SoftAlgae_2012,,3,,,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,Aphanothece nidulans
Aphanothece saxicola,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,Aphanothece saxicola
Aphanothece stagnina,SoftAlgae_2012,,3,,,No,NI,NI,NI,low,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,Aphanothece stagnina
Apiocystis,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Tetrasporales,Tetrasporaceae,Apiocystis,Apiocystis cf brauniana
Apiocystis brauniana,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Tetrasporales,Tetrasporaceae,Apiocystis,Apiocystis brauniana
Ardissonea,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Fragilariophyceae,Ardissoneales,Ardissoneaceae,Ardissonea,
Ardissonea cuneata,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Fragilariophyceae,Ardissoneales,Ardissoneaceae,Ardissonea,
Arthrospira,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Arthrospira,Arthrospira sp 1
Arthrospira corkiana,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astartiella,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Astartiella,
Astartiella bahusiensis,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Astartiella,
Astartiella bremeyeri,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Astartiella,
Asterionella,Diatom_2012,P,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionella,
Asterionella formosa,Diatom_2012,P,3,,,,,,,,,NM,NAHON,NAHON,DO_75,FB,FB,BM,,ME,,,,,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionella,
Asterococcus,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellopsidaceae,Asterococcus,Asterococcus cf limneticus
Asterococcus limneticus,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellopsidaceae,Asterococcus,Asterococcus limneticus
Audouinella,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,RD,,No,Yes,,,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,Audouinella,Audouinella cf hermannii
Audouinella hermannii,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,RD,,No,Yes,,,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,Audouinella,Audouinella hermannii
Aulacoseira,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulacoseira alpigena,Diatom_2012,P,3,,,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,,O,,,,,Heterokontophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira ambigua,Diatom_2012,P,3,,,,,,,,,NM,NAHON,NAHON,DO_50,FB,FB,BM,,E,,,,,Heterokontophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira canadensis,Diatom_2012,P,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira crassipunctata,Diatom_2012,P,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira crenulata,Diatom_2012,P,3,,,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,,O,,,,,Heterokontophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira distans,Diatom_2012,P,2,,yes,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,,O,,,,,Heterokontophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira granulata,Diatom_2012,P,5,yes,,,,,,,,NM,NAHON,NAHON,DO_50,FB,FB,BM,,E,,,,,Heterokontophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira granulata var angustissima,Diatom_2012,P,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira islandica,Diatom_2012,P,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
