StationCode,SampleDate,Replicate,CollectionMethodCode,SampleTypeCode,BAResult,Result,FinalID
102PS0139,8/9/10,1,Algae_SWAMP,Microalgae,NA,11789,Heteroleibleinia kossinskajae
102PS0139,8/9/10,1,Algae_SWAMP,Microalgae,NA,150993,Homoeothrix varians
102PS0139,8/9/10,1,Algae_SWAMP,Integrated,10,NA,Navicula cryptotenella
102PS0139,8/9/10,1,Algae_SWAMP,Integrated,1,NA,Nitzschia dissipata
102PS0139,8/9/10,1,Algae_SWAMP,Integrated,8,NA,Nitzschia inconspicua
102PS0139,8/9/10,1,Algae_SWAMP,Integrated,1,NA,Nitzschia linearis
102PS0139,8/9/10,1,Algae_SWAMP,Integrated,78,NA,Planothidium lanceolatum
102PS0139,8/9/10,1,Algae_SWAMP,Qualitative,NA,NA,Prasiola mexicana
102PS0139,8/9/10,1,Algae_SWAMP,Integrated,26,NA,Reimeria sinuata
102PS0139,8/9/10,1,Algae_SWAMP,Integrated,19,NA,Rhoicosphenia sp C SWAMP EWT
102PS0139,8/9/10,1,Algae_SWAMP,Integrated,38,NA,Rhoicosphenia abbreviata
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,352,NA,Achnanthidium minutissimum
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,2,NA,Amphipleura pellucida
105DLCDCC,5/19/09,1,Algae_SWAMP,Microalgae,NA,6313.23,Chamaesiphon polymorphus
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,24,NA,Cocconeis placentula var euglypta
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,2,NA,Diatoma mesodon
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,3,NA,Epithemia adnata
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,106,NA,Gomphonema pumilum
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,2,NA,Hannaea arcus
105DLCDCC,5/19/09,1,Algae_SWAMP,Microalgae,NA,40172.3,Heteroleibleinia kossinskajae
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,8,NA,Kolbesia suchlandtii
105DLCDCC,5/19/09,1,Algae_SWAMP,Microalgae,NA,39899.6,Leptolyngbya foveolarum
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,1,NA,Navicula menisculus
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,4,NA,Nitzschia dissipata
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,4,NA,Nitzschia inconspicua
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,4,NA,Nitzschia paleacea
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,78,NA,Planothidium lanceolatum
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,3,NA,Reimeria sinuata
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,3,NA,Rhoicosphenia abbreviata
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,1,NA,Rhopalodia gibba
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,1,NA,Rossithidium pusillum
105DLCDCC,5/19/09,1,Algae_SWAMP,Integrated,2,NA,Synedra ulna
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,337,NA,Achnanthidium minutissimum
105DLCDCC,6/23/09,1,Algae_SWAMP,Microalgae,NA,35088.1,Batrachospermum sp 1
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,2,NA,Caloneis bacillum
105DLCDCC,6/23/09,1,Algae_SWAMP,Microalgae,NA,311452,Calothrix epiphytica
105DLCDCC,6/23/09,1,Algae_SWAMP,Microalgae,NA,48713.2,Chamaesiphon polymorphus
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,19,NA,Cocconeis placentula var euglypta
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,6,NA,Diatoma mesodon
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,8,NA,Diatoma tenuis
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,1,NA,Diatoma vulgaris
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,2,NA,Epithemia sorex
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,4,NA,Gomphoneis eriense var variabilis
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,50,NA,Gomphonema pumilum
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,11,NA,Hannaea arcus
105DLCDCC,6/23/09,1,Algae_SWAMP,Microalgae,NA,32324,Heteroleibleinia kossinskajae
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,14,NA,Kolbesia suchlandtii
105DLCDCC,6/23/09,1,Algae_SWAMP,Microalgae,NA,62711.4,Leptolyngbya foveolarum
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,2,NA,Navicula gregaria
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,4,NA,Navicula menisculus
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,48,NA,Nitzschia dissipata
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,11,NA,Nitzschia inconspicua
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,4,NA,Nitzschia linearis
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,4,NA,Nitzschia perminuta
105DLCDCC,6/23/09,1,Algae_SWAMP,Microalgae,NA,3780000,Phormidium subfuscum
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,36,NA,Planothidium lanceolatum
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,4,NA,Reimeria sinuata
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,3,NA,Rhoicosphenia abbreviata
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,9,NA,Rossithidium pusillum
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,2,NA,Sellaphora seminulum
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,2,NA,Simonsenia delognei
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,4,NA,Synedra mazamaensis
105DLCDCC,6/23/09,1,Algae_SWAMP,Integrated,13,NA,Synedra ulna
105DLCDCC,6/23/09,1,Algae_SWAMP,Microalgae,NA,13899.5,Xenococcus minimus
